epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7029.86,0.7937,0.69368,1.18449,0.93429,0.89027,0.95541,0.75811,0.73006,0.45769,1.16292,0.000918991,0.000918991,0.000918991
43,7206.53,0.78382,0.68507,1.17498,0.91535,0.91033,0.95048,0.76146,0.71373,0.45341,1.15303,0.000897557,0.000897557,0.000897557
44,7384.75,0.76913,0.6584,1.1625,0.90351,0.9106,0.94799,0.76202,0.70298,0.4534,1.13658,0.00087595,0.00087595,0.00087595
45,7563.16,0.77338,0.66663,1.16741,0.91317,0.88991,0.94494,0.76013,0.70478,0.45581,1.1465,0.00085419,0.00085419,0.00085419
46,7738.03,0.77475,0.667,1.16969,0.91958,0.91228,0.95123,0.76101,0.70556,0.44308,1.1455,0.0008323,0.0008323,0.0008323
47,7925.05,0.77571,0.65171,1.16502,0.91614,0.90796,0.94871,0.76359,0.7025,0.44174,1.14119,0.0008103,0.0008103,0.0008103
48,8103.24,0.75088,0.64533,1.15329,0.93489,0.89826,0.95549,0.76959,0.69294,0.43143,1.14198,0.000788213,0.000788213,0.000788213
49,8284.97,0.75833,0.63825,1.16091,0.93791,0.89703,0.95571,0.76838,0.70441,0.42334,1.14618,0.00076606,0.00076606,0.00076606
50,8477.29,0.75181,0.63427,1.154,0.93109,0.91486,0.95152,0.77466,0.6923,0.4171,1.13853,0.000743864,0.000743864,0.000743864
51,8661.73,0.7509,0.63085,1.14985,0.92347,0.9203,0.95559,0.77374,0.68917,0.41719,1.13915,0.000721645,0.000721645,0.000721645
52,8853.44,0.74078,0.62853,1.14798,0.91985,0.92067,0.95414,0.77608,0.68529,0.42146,1.13255,0.000699426,0.000699426,0.000699426
53,9042.54,0.72886,0.61086,1.14008,0.92815,0.91405,0.95721,0.77928,0.67221,0.41544,1.1197,0.00067723,0.00067723,0.00067723
54,9228.81,0.72495,0.60271,1.13761,0.9392,0.91742,0.95882,0.77829,0.68339,0.41027,1.13084,0.000655077,0.000655077,0.000655077
55,9393.43,0.72677,0.60717,1.13994,0.93949,0.92386,0.95948,0.78327,0.67133,0.39832,1.1197,0.00063299,0.00063299,0.00063299
56,9546.42,0.71878,0.58968,1.13591,0.94055,0.92898,0.96239,0.78522,0.67208,0.39772,1.12806,0.00061099,0.00061099,0.00061099
57,9710.93,0.70531,0.57893,1.13162,0.93541,0.91465,0.96232,0.78301,0.67161,0.39914,1.1174,0.0005891,0.0005891,0.0005891
58,9891.49,0.71302,0.57826,1.13053,0.93043,0.92534,0.95934,0.78701,0.66633,0.39368,1.11523,0.00056734,0.00056734,0.00056734
59,10095.7,0.70027,0.56733,1.12511,0.94307,0.92135,0.96028,0.79128,0.66043,0.38871,1.1116,0.000545733,0.000545733,0.000545733
60,10293.1,0.70408,0.56277,1.12629,0.93472,0.92528,0.96031,0.78759,0.66737,0.38226,1.12021,0.000524299,0.000524299,0.000524299
61,10483.5,0.68849,0.55632,1.12264,0.94264,0.92903,0.96127,0.7907,0.65567,0.37851,1.10847,0.00050306,0.00050306,0.00050306
62,10672,0.68966,0.55134,1.11658,0.94244,0.92113,0.96011,0.79284,0.64796,0.38088,1.10502,0.000482037,0.000482037,0.000482037
63,10858.3,0.67626,0.53822,1.10554,0.94273,0.92596,0.96152,0.79539,0.64898,0.37957,1.10833,0.00046125,0.00046125,0.00046125
64,11041.6,0.67033,0.53509,1.10665,0.94918,0.9174,0.96141,0.79494,0.65299,0.37196,1.10424,0.00044072,0.00044072,0.00044072
65,11241.6,0.67572,0.53539,1.10968,0.9498,0.92873,0.96423,0.7971,0.64656,0.3721,1.10481,0.000420468,0.000420468,0.000420468
66,11468.6,0.66243,0.5268,1.0978,0.95072,0.92999,0.96566,0.80195,0.63195,0.3707,1.09236,0.000400513,0.000400513,0.000400513
67,11674.4,0.66175,0.53316,1.10214,0.94175,0.92965,0.96303,0.79874,0.63883,0.36734,1.10258,0.000380874,0.000380874,0.000380874
68,11863.8,0.66024,0.52678,1.10179,0.94012,0.9301,0.96339,0.79834,0.63806,0.36464,1.10182,0.000361572,0.000361572,0.000361572
69,12057.9,0.65593,0.51765,1.09724,0.94999,0.91977,0.96194,0.79936,0.64166,0.36857,1.10508,0.000342625,0.000342625,0.000342625
70,12245.7,0.65325,0.51041,1.09908,0.95843,0.92793,0.96559,0.80164,0.63424,0.36064,1.09798,0.000324053,0.000324053,0.000324053
71,12425.2,0.64333,0.51137,1.0962,0.9455,0.93587,0.96403,0.80357,0.62345,0.36051,1.09162,0.000305872,0.000305872,0.000305872
72,12619.9,0.63106,0.50077,1.08434,0.94866,0.93732,0.96394,0.80808,0.61887,0.34994,1.0898,0.000288102,0.000288102,0.000288102
73,12812.4,0.64041,0.49547,1.08828,0.94973,0.93621,0.96374,0.80533,0.62288,0.35147,1.09335,0.00027076,0.00027076,0.00027076
74,13006.2,0.64503,0.49827,1.09515,0.95405,0.93535,0.96002,0.80549,0.62077,0.35155,1.09204,0.000253863,0.000253863,0.000253863
75,13197.1,0.62497,0.48883,1.08202,0.94959,0.93605,0.96262,0.8067,0.62266,0.3531,1.09304,0.000237427,0.000237427,0.000237427
76,13391.2,0.62821,0.48816,1.08578,0.95486,0.93529,0.9662,0.8084,0.62508,0.34747,1.09544,0.000221469,0.000221469,0.000221469
77,13577.4,0.62101,0.47567,1.08225,0.95753,0.93263,0.96493,0.80849,0.62205,0.34709,1.0935,0.000206005,0.000206005,0.000206005
78,13758.4,0.6293,0.48879,1.08486,0.94978,0.93796,0.96269,0.80921,0.61791,0.3498,1.09194,0.00019105,0.00019105,0.00019105
79,13932.1,0.61681,0.47827,1.07416,0.95047,0.94001,0.96386,0.80999,0.61608,0.34427,1.09159,0.000176619,0.000176619,0.000176619
80,14107.8,0.60546,0.46215,1.06694,0.96554,0.92797,0.96371,0.81245,0.61165,0.34101,1.08881,0.000162725,0.000162725,0.000162725
81,14274.6,0.61364,0.47295,1.07391,0.95593,0.93647,0.96332,0.81135,0.60894,0.3412,1.08673,0.000149383,0.000149383,0.000149383
82,14458.6,0.61628,0.47075,1.07873,0.95585,0.93492,0.96346,0.81165,0.61258,0.33839,1.09102,0.000136605,0.000136605,0.000136605
83,14650.6,0.60554,0.4617,1.07056,0.95352,0.9365,0.96508,0.81306,0.61038,0.33577,1.08915,0.000124405,0.000124405,0.000124405
84,14836,0.59654,0.45767,1.06602,0.95041,0.93886,0.96519,0.81413,0.61032,0.33406,1.08851,0.000112795,0.000112795,0.000112795
85,15018,0.59905,0.45633,1.07055,0.95427,0.93526,0.96475,0.81529,0.60963,0.33609,1.08733,0.000101785,0.000101785,0.000101785
86,15203.9,0.60478,0.45684,1.06958,0.95523,0.93617,0.96541,0.81419,0.61117,0.33337,1.08908,9.13871e-05,9.13871e-05,9.13871e-05
87,15389.2,0.60799,0.45912,1.07083,0.95401,0.93989,0.96614,0.81368,0.61003,0.33513,1.08867,8.16111e-05,8.16111e-05,8.16111e-05
88,15569.4,0.59763,0.46175,1.0636,0.95289,0.9361,0.96184,0.81416,0.60806,0.33596,1.08771,7.24667e-05,7.24667e-05,7.24667e-05
89,15751.5,0.59061,0.4501,1.06037,0.9537,0.93791,0.96431,0.8139,0.60637,0.3345,1.08679,6.3963e-05,6.3963e-05,6.3963e-05
90,15928.6,0.59358,0.45211,1.05967,0.9576,0.9379,0.96597,0.81489,0.60597,0.3321,1.08486,5.61083e-05,5.61083e-05,5.61083e-05
91,16152.9,0.47384,0.29876,0.99679,0.9517,0.93859,0.96294,0.81151,0.61017,0.3347,1.09032,4.89104e-05,4.89104e-05,4.89104e-05
92,16319.7,0.45816,0.28115,0.98615,0.9585,0.93175,0.96115,0.80896,0.61246,0.3364,1.09205,4.23765e-05,4.23765e-05,4.23765e-05
93,16486.5,0.45424,0.28098,0.98053,0.96372,0.93409,0.96211,0.80956,0.61291,0.33551,1.09332,3.65129e-05,3.65129e-05,3.65129e-05
94,16648.8,0.45279,0.27491,0.98114,0.96169,0.93351,0.96255,0.81014,0.61108,0.33556,1.09135,3.13254e-05,3.13254e-05,3.13254e-05
95,16810.8,0.44718,0.26725,0.9747,0.96304,0.93206,0.96274,0.81327,0.60976,0.33227,1.09011,2.68192e-05,2.68192e-05,2.68192e-05
96,16978.5,0.44784,0.27155,0.97644,0.96235,0.93245,0.9626,0.81343,0.60816,0.33212,1.08959,2.29987e-05,2.29987e-05,2.29987e-05
97,17131.3,0.44439,0.2679,0.97591,0.96219,0.93206,0.96271,0.81345,0.60769,0.33205,1.08962,1.98677e-05,1.98677e-05,1.98677e-05
98,17286.4,0.44412,0.26855,0.97526,0.96443,0.92864,0.96282,0.81296,0.60755,0.33176,1.08971,1.74293e-05,1.74293e-05,1.74293e-05
99,17447.2,0.44845,0.26662,0.9777,0.9611,0.93399,0.96291,0.81345,0.6065,0.33069,1.08887,1.56858e-05,1.56858e-05,1.56858e-05
100,17601.4,0.44001,0.26391,0.97036,0.95962,0.93643,0.96296,0.81402,0.6063,0.33013,1.08914,1.4639e-05,1.4639e-05,1.4639e-05
